rank,country,lower_single_house_elections,lower_single_house_seats,lower_single_house_women,lower_single_house_percent_w,upper_house_senate_elections,upper_house_senate_seats,upper_house_senate_women,upper_house_senate_percent_w,lower_single_house_elections_year,upper_house_senate_elections_year
"""",Uzbekistan,1999-12-01,250.0,18.0,0.072,,0.0,0.0,,1999,NaT
"""",Yugoslavia,2000-09-01,138.0,10.0,0.07246376811594203,2000-09-01,40.0,1.0,0.025,2000,2000
89,Bosnia and Herzegovina,2000-11-01,42.0,3.0,0.07142857142857142,2000-11-01,15.0,0.0,0.0,2000,2000
90,Belize,1998-08-01,29.0,2.0,0.06896551724137931,1993-06-01,8.0,3.0,0.375,1998,1993
91,The f.Y.R. of Macedonia,1998-10-01,120.0,8.0,0.06666666666666667,,0.0,0.0,,1998,NaT
92,Singapore,1997-01-01,93.0,6.0,0.06451612903225806,,0.0,0.0,,1997,NaT
93,Samoa,2001-03-01,49.0,3.0,0.061224489795918366,,0.0,0.0,,2001,NaT
94,Benin,1999-03-01,83.0,5.0,0.060240963855421686,,0.0,0.0,,1999,NaT
"""",Maldives,1999-11-01,50.0,3.0,0.06,,0.0,0.0,,1999,NaT
95,Nepal,1999-05-01,205.0,12.0,0.05853658536585366,2001-06-01,60.0,0.0,0.0,1999,2001
"""",Republic of Korea,2000-04-01,273.0,16.0,0.05860805860805861,,0.0,0.0,,2000,NaT
96,Brazil,1998-10-01,513.0,29.0,0.056530214424951264,1998-10-01,81.0,6.0,0.07407407407407407,1998,1998
"""",Mauritius,2000-09-01,70.0,4.0,0.05714285714285714,,0.0,0.0,,2000,NaT
97,Cameroon,1997-05-01,180.0,10.0,0.05555555555555555,,0.0,0.0,,1997,NaT
98,Antigua and Barbuda,1999-03-01,19.0,1.0,0.05263157894736842,1999-03-01,17.0,2.0,0.11764705882352941,1999,1999
99,Equatorial Guinea,1999-03-01,80.0,4.0,0.05,,0.0,0.0,,1999,NaT
100,Togo,1999-03-01,81.0,4.0,0.04938271604938271,,0.0,0.0,,1999,NaT
101,Kiribati,1998-09-01,42.0,2.0,0.047619047619047616,,0.0,0.0,,1998,NaT
102,Turkey,1999-04-01,550.0,23.0,0.04181818181818182,,0.0,0.0,,1999,NaT
103,Sri Lanka,2000-10-01,225.0,9.0,0.04,,0.0,0.0,,2000,NaT
104,Lesotho,1998-05-01,79.0,3.0,0.0379746835443038,1998-05-01,33.0,9.0,0.2727272727272727,1998,1998
"""",Mauritania,1996-10-01,79.0,3.0,0.0379746835443038,2000-04-01,56.0,1.0,0.017857142857142856,1996,2000
105,Kenya,1997-12-01,224.0,8.0,0.03571428571428571,,0.0,0.0,,1997,NaT
106,Algeria,1997-06-01,380.0,13.0,0.034210526315789476,1997-12-01,144.0,8.0,0.05555555555555555,1997,1997
"""",Iran Islamic Rep. of,2000-02-01,290.0,10.0,0.034482758620689655,,0.0,0.0,,2000,NaT
"""",Nigeria,1999-02-01,351.0,12.0,0.03418803418803419,1999-02-01,108.0,3.0,0.027777777777777776,1999,1999
107,Armenia,1999-05-01,131.0,4.0,0.030534351145038167,,0.0,0.0,,1999,NaT
"""",Swaziland,1998-10-01,65.0,2.0,0.03076923076923077,1998-10-01,30.0,4.0,0.13333333333333333,1998,1998
108,Marshall Islands,1999-11-01,33.0,1.0,0.030303030303030304,,0.0,0.0,,1999,NaT
109,Paraguay,1998-05-01,80.0,2.0,0.025,1998-05-01,45.0,8.0,0.17777777777777778,1998,1998
110,Chad,1997-01-01,125.0,3.0,0.024,,0.0,0.0,,1997,NaT
"""",Egypt,2000-11-01,454.0,11.0,0.024229074889867842,,0.0,0.0,,2000,NaT
111,Lebanon,2000-08-01,128.0,3.0,0.0234375,,0.0,0.0,,2000,NaT
112,Gambia,1997-01-01,49.0,1.0,0.02040816326530612,,0.0,0.0,,1997,NaT
"""",Solomon Islands,1997-08-01,49.0,1.0,0.02040816326530612,,0.0,0.0,,1997,NaT
113,Papua New Guinea,1997-06-01,109.0,2.0,0.01834862385321101,,0.0,0.0,,1997,NaT
114,Jordan,1997-11-01,80.0,1.0,0.0125,1997-11-01,40.0,3.0,0.075,1997,1997
115,Niger,1999-11-01,83.0,1.0,0.012048192771084338,,0.0,0.0,,1999,NaT
116,Yemen,1997-04-01,299.0,2.0,0.006688963210702341,,0.0,0.0,,1997,NaT
117,Morocco,1997-11-01,325.0,2.0,0.006153846153846154,1997-12-01,270.0,2.0,0.007407407407407408,1997,1997
118,Djibouti,1997-12-01,65.0,0.0,0.0,,0.0,0.0,,1997,NaT
"""",Kuwait,1999-07-01,65.0,0.0,0.0,,0.0,0.0,,1999,NaT
"""",Micronesia Fed. States of,1999-03-01,14.0,0.0,0.0,,0.0,0.0,,1999,NaT
"""",Nauru,2000-04-01,18.0,0.0,0.0,,0.0,0.0,,2000,NaT
"""",Palau,2000-11-01,16.0,0.0,0.0,2000-11-01,9.0,0.0,0.0,2000,2000
"""",Tonga,1999-03-01,30.0,0.0,0.0,,0.0,0.0,,1999,NaT
"""",Tuvalu,1998-03-01,15.0,0.0,0.0,,0.0,0.0,,1998,NaT
"""",United Arab Emirates,1997-12-01,40.0,0.0,0.0,,0.0,0.0,,1997,NaT
"""",Vanuatu,1998-03-01,52.0,0.0,0.0,,0.0,0.0,,1998,NaT
0,Albania,2001-06-01,155.0,0.0,0.0,,0.0,0.0,,2001,NaT
0,Bangladesh,2001-10-01,330.0,0.0,0.0,,0.0,0.0,,2001,NaT
0,Fiji Islands,2001-08-01,71.0,0.0,0.0,2001-08-01,32.0,0.0,0.0,2001,2001
0,Haiti,2000-05-01,82.0,0.0,0.0,2000-05-01,19.0,0.0,0.0,2000,2000
0,Libyan Arab Jamahiriya,1997-03-01,760.0,0.0,0.0,,0.0,0.0,,1997,NaT
0,Liechtenstein,2001-02-01,25.0,0.0,0.0,,0.0,0.0,,2001,NaT
0,Philippines,2001-05-01,222.0,0.0,0.0,2001-05-01,23.0,0.0,0.0,2001,2001
0,Poland,2001-09-01,460.0,0.0,0.0,2001-09-01,100.0,0.0,0.0,2001,2001
0,Saint Vincent & the Grenadines,2001-03-01,21.0,0.0,0.0,,0.0,0.0,,2001,NaT
0,Uganda,2001-06-01,281.0,0.0,0.0,,0.0,0.0,,2001,NaT
1,Sweden,2002-09-01,349.0,157.0,0.4498567335243553,,0.0,0.0,,2002,NaT
2,Denmark,2001-11-01,179.0,68.0,0.37988826815642457,,0.0,0.0,,2001,NaT
4,Norway,2001-09-01,165.0,60.0,0.36363636363636365,,0.0,0.0,,2001,NaT
