rank,country,lower_single_house_elections,lower_single_house_seats,lower_single_house_women,lower_single_house_percent_w,upper_house_senate_elections,upper_house_senate_seats,upper_house_senate_women,upper_house_senate_percent_w,lower_single_house_elections_year,upper_house_senate_elections_year
80,Burundi,1998-07-01,117.0,7.0,0.05982905982905983,,0.0,0.0,,1998,NaT
81,Brazil,1998-10-01,513.0,29.0,0.056530214424951264,1998-10-01,81.0,6.0,0.07407407407407407,1998,1998
84,Antigua and Barbuda,1994-03-01,19.0,1.0,0.05263157894736842,1994-03-01,17.0,3.0,0.17647058823529413,1994,1994
85,Yugoslavia,1996-11-01,138.0,7.0,0.050724637681159424,1998-03-01,40.0,4.0,0.1,1996,1998
86,Iran Islamic Rep. of,1996-03-01,266.0,13.0,0.04887218045112782,,0.0,0.0,,1996,NaT
87,Japan,1996-10-01,500.0,24.0,0.048,1998-07-01,252.0,43.0,0.17063492063492064,1996,1998
"""",Kiribati,1998-09-01,42.0,2.0,0.047619047619047616,,0.0,0.0,,1998,NaT
"""",Saint Vincent & the Grenadines,1998-06-01,21.0,1.0,0.047619047619047616,,0.0,0.0,,1998,NaT
88,Fiji,1994-02-01,70.0,3.0,0.04285714285714286,1994-02-01,34.0,3.0,0.08823529411764706,1994,1994
89,Samoa,1996-04-01,49.0,2.0,0.04081632653061224,,0.0,0.0,,1996,NaT
90,Liechtenstein,1997-02-01,25.0,1.0,0.04,,0.0,0.0,,1997,NaT
91,Lesotho,1998-05-01,80.0,3.0,0.0375,1998-05-01,33.0,9.0,0.2727272727272727,1998,1998
92,Republic of Korea,1996-04-01,299.0,11.0,0.03678929765886288,,0.0,0.0,,1996,NaT
93,Haiti,1995-06-01,83.0,3.0,0.03614457831325301,1997-04-01,27.0,0.0,0.0,1995,1997
94,Nepal,1994-11-01,205.0,7.0,0.03414634146341464,1997-06-01,60.0,5.0,0.08333333333333333,1994,1997
95,Algeria,1997-06-01,380.0,12.0,0.031578947368421054,1997-12-01,144.0,8.0,0.05555555555555555,1997,1997
96,Swaziland,1998-10-01,65.0,2.0,0.03076923076923077,1998-10-01,30.0,4.0,0.13333333333333333,1998,1998
97,Tajikistan,1995-02-01,181.0,5.0,0.027624309392265192,,0.0,0.0,,1995,NaT
98,Paraguay,1998-05-01,80.0,2.0,0.025,1998-05-01,45.0,8.0,0.17777777777777778,1998,1998
99,Chad,1997-01-01,125.0,3.0,0.024,,0.0,0.0,,1997,NaT
100,Lebanon,1996-08-01,128.0,3.0,0.0234375,,0.0,0.0,,1996,NaT
101,Bhutan,,150.0,3.0,0.02,,0.0,0.0,,NaT,NaT
102,Papua New Guinea,1997-06-01,109.0,2.0,0.01834862385321101,,0.0,0.0,,1997,NaT
103,Kyrgyzstan,1995-02-01,70.0,1.0,0.014285714285714285,1995-02-01,35.0,4.0,0.11428571428571428,1995,1995
104,Niger,1996-11-01,83.0,1.0,0.012048192771084338,,0.0,0.0,,1996,NaT
106,Morocco,1997-11-01,325.0,2.0,0.006153846153846154,1997-12-01,270.0,2.0,0.007407407407407408,1997,1997
0,Barbados,1999-01-01,28.0,0.0,0.0,1999-01-01,21.0,0.0,0.0,1999,1999
0,Senegal,1999-01-01,140.0,0.0,0.0,1999-01-01,0.0,0.0,,1999,1999
7,Germany,1998-09-01,669.0,207.0,0.3094170403587444,2000-01-01,69.0,41.0,0.5942028985507246,1998,2000
10,Bosnia and Herzegovina,1998-09-01,42.0,12.0,0.2857142857142857,1998-09-01,15.0,0.0,0.0,1998,1998
11,Argentina,1999-10-01,257.0,72.0,0.2801556420233463,1998-12-01,72.0,4.0,0.05555555555555555,1999,1998
16,Namibia,1999-11-01,72.0,18.0,0.25,1998-11-01,26.0,2.0,0.07692307692307693,1999,1998
17,Seychelles,1998-03-01,34.0,8.0,0.23529411764705882,,0.0,0.0,,1998,NaT
18,Belgium,1999-06-01,150.0,35.0,0.23333333333333334,1999-06-01,71.0,20.0,0.28169014084507044,1999,1999
19,Switzerland,1999-10-01,200.0,46.0,0.23,1999-10-01,46.0,9.0,0.1956521739130435,1999,1999
20,Australia,1998-10-01,147.0,33.0,0.22448979591836735,1998-10-01,76.0,22.0,0.2894736842105263,1998,1998
21,Monaco,1998-02-01,18.0,4.0,0.2222222222222222,,0.0,0.0,,1998,NaT
22,China,,2979.0,650.0,0.21819402484055053,,0.0,0.0,,NaT,NaT
23,Spain,1996-03-01,348.0,75.0,0.21551724137931033,1996-03-01,257.0,34.0,0.13229571984435798,1996,1996
25,Croatia,2000-01-01,151.0,31.0,0.2052980132450331,1997-04-01,68.0,4.0,0.058823529411764705,2000,1997
27,Canada,1997-06-01,301.0,60.0,0.19933554817275748,,105.0,32.0,0.3047619047619048,1997,NaT
29,Portugal,1999-10-01,230.0,43.0,0.18695652173913044,,0.0,0.0,,1999,NaT
31,United Kingdom,1997-05-01,659.0,121.0,0.18361153262518967,,666.0,4.0,0.006006006006006006,1997,NaT
32,Mexico,1997-07-01,500.0,91.0,0.182,1997-07-01,128.0,22.0,0.171875,1997,1997
33,Uganda,1996-06-01,279.0,50.0,0.17921146953405018,,0.0,0.0,,1996,NaT
34,Estonia,1999-03-01,101.0,18.0,0.1782178217821782,,0.0,0.0,,1999,NaT
35,Lithuania,1996-10-01,137.0,24.0,0.17518248175182483,,0.0,0.0,,1996,NaT
36,Ecuador,1998-05-01,121.0,21.0,0.17355371900826447,,0.0,0.0,,1998,NaT
37,Rwanda,1994-11-01,70.0,12.0,0.17142857142857143,,0.0,0.0,,1994,NaT
39,El Salvador,1997-03-01,84.0,14.0,0.16666666666666666,,0.0,0.0,,1997,NaT
40,United Rep. of Tanzania,1995-10-01,275.0,45.0,0.16363636363636364,,0.0,0.0,,1995,NaT
42,Suriname,1996-05-01,51.0,8.0,0.1568627450980392,,0.0,0.0,,1996,NaT
46,Zimbabwe,1995-04-01,150.0,21.0,0.14,,0.0,0.0,,1995,NaT
47,Jamaica,1997-12-01,60.0,8.0,0.13333333333333333,1997-12-01,21.0,5.0,0.23809523809523808,1997,1997
48,Poland,1997-09-01,460.0,60.0,0.13043478260869565,1997-09-01,100.0,11.0,0.11,1997,1997
49,Slovakia,1998-09-01,150.0,19.0,0.12666666666666668,,0.0,0.0,,1998,NaT
50,Philippines,1998-05-01,217.0,27.0,0.12442396313364056,1998-05-01,23.0,4.0,0.17391304347826086,1998,1998
51,Mali,1997-07-01,147.0,18.0,0.12244897959183673,,0.0,0.0,,1997,NaT
52,Senegal,1998-05-01,140.0,17.0,0.12142857142857143,1999-01-01,60.0,11.0,0.18333333333333332,1998,1999
53,Azerbaijan,1995-11-01,125.0,15.0,0.12,,0.0,0.0,,1995,NaT
54,Colombia,1998-03-01,161.0,19.0,0.11801242236024845,1998-03-01,102.0,13.0,0.12745098039215685,1998,1998
55,Israel,1999-05-01,120.0,14.0,0.11666666666666667,,0.0,0.0,,1999,NaT
57,Fiji,1999-05-01,71.0,8.0,0.11267605633802817,1999-06-01,32.0,8.0,0.25,1999,1999
58,Cape Verde,1995-12-01,72.0,8.0,0.1111111111111111,,0.0,0.0,,1995,NaT
59,France,1997-05-01,577.0,63.0,0.10918544194107452,1998-09-01,321.0,19.0,0.059190031152647975,1997,1998
60,Bulgaria,1997-04-01,240.0,26.0,0.10833333333333334,,0.0,0.0,,1997,NaT
62,Kazakhstan,1999-10-01,77.0,8.0,0.1038961038961039,1999-09-01,39.0,5.0,0.1282051282051282,1999,1999
63,Zambia,1996-11-01,158.0,16.0,0.10126582278481013,,0.0,0.0,,1996,NaT
64,Nicaragua,1996-10-01,93.0,9.0,0.0967741935483871,,0.0,0.0,,1996,NaT
"""",Panama,1999-05-01,72.0,7.0,0.09722222222222222,,0.0,0.0,,1999,NaT
65,Honduras,1997-11-01,128.0,12.0,0.09375,,0.0,0.0,,1997,NaT
66,Malta,1998-09-01,65.0,6.0,0.09230769230769231,,0.0,0.0,,1998,NaT
68,Ghana,1996-12-01,200.0,18.0,0.09,,0.0,0.0,,1996,NaT
"""",India,1999-09-01,543.0,49.0,0.09023941068139964,1998-03-01,220.0,19.0,0.08636363636363636,1999,1998
69,Republic of Moldova,1998-03-01,101.0,9.0,0.0891089108910891,,0.0,0.0,,1998,NaT
70,Guinea,1995-06-01,114.0,10.0,0.08771929824561403,,0.0,0.0,,1995,NaT
71,Gabon,1996-12-01,120.0,10.0,0.08333333333333333,1997-01-01,91.0,10.0,0.10989010989010989,1996,1997
72,Cambodia,1998-07-01,122.0,10.0,0.08196721311475409,1999-03-01,61.0,0.0,0.0,1998,1999
75,Mongolia,1996-06-01,76.0,6.0,0.07894736842105263,,0.0,0.0,,1996,NaT
77,Russian Federation,1999-12-01,441.0,34.0,0.07709750566893424,,178.0,1.0,0.0056179775280898875,1999,NaT
78,Mauritius,1995-12-01,66.0,5.0,0.07575757575757576,,0.0,0.0,,1995,NaT
79,The F.Y.R. of Macedonia,1998-10-01,120.0,9.0,0.075,,0.0,0.0,,1998,NaT
"""",Malaysia,1999-11-01,193.0,14.0,0.07253886010362694,1998-03-01,69.0,12.0,0.17391304347826086,1999,1998
84,Uzbekistan,1999-12-01,250.0,17.0,0.068,,0.0,0.0,,1999,NaT
85,Iraq,1996-03-01,250.0,16.0,0.064,,0.0,0.0,,1996,NaT
86,Greece,1996-09-01,300.0,19.0,0.06333333333333334,,0.0,0.0,,1996,NaT
87,Benin,1999-03-01,83.0,5.0,0.060240963855421686,,0.0,0.0,,1999,NaT
88,Nepal,1999-05-01,205.0,12.0,0.05853658536585366,1997-06-01,60.0,5.0,0.08333333333333333,1999,1997
89,Brazil,1998-10-01,513.0,29.0,0.056530214424951264,1998-10-01,81.0,6.0,0.07407407407407407,1998,1998
90,Cameroon,1997-05-01,180.0,10.0,0.05555555555555555,,0.0,0.0,,1997,NaT
91,Cyprus,1996-05-01,56.0,3.0,0.05357142857142857,,0.0,0.0,,1996,NaT
92,Antigua and Barbuda,1999-03-01,19.0,1.0,0.05263157894736842,1999-03-01,17.0,2.0,0.11764705882352941,1999,1999
93,Albania,1997-06-01,155.0,8.0,0.05161290322580645,,0.0,0.0,,1997,NaT
94,Yugoslavia,1996-11-01,138.0,7.0,0.050724637681159424,1998-03-01,40.0,4.0,0.1,1996,1998
95,Equatorial Guinea,1999-03-01,80.0,4.0,0.05,,0.0,0.0,,1999,NaT
96,Iran Islamic Rep. of,1996-03-01,266.0,13.0,0.04887218045112782,,0.0,0.0,,1996,NaT
97,Saint Vincent & the Grenadines,1998-06-01,21.0,1.0,0.047619047619047616,,0.0,0.0,,1998,NaT
98,Japan,1996-10-01,500.0,23.0,0.046,1998-07-01,252.0,43.0,0.17063492063492064,1996,1998
99,Belarus,1996-11-01,110.0,5.0,0.045454545454545456,1997-02-01,63.0,19.0,0.30158730158730157,1996,1997
100,Singapore,1997-01-01,93.0,4.0,0.043010752688172046,,0.0,0.0,,1997,NaT
102,Liechtenstein,1997-02-01,25.0,1.0,0.04,,0.0,0.0,,1997,NaT
103,Lesotho,1998-05-01,79.0,3.0,0.0379746835443038,1998-05-01,33.0,9.0,0.2727272727272727,1998,1998
104,Republic of Korea,1996-04-01,299.0,11.0,0.03678929765886288,,0.0,0.0,,1996,NaT
105,Haiti,1995-06-01,83.0,3.0,0.03614457831325301,1997-04-01,27.0,0.0,0.0,1995,1997
106,Algeria,1997-06-01,380.0,12.0,0.031578947368421054,1997-12-01,144.0,8.0,0.05555555555555555,1997,1997
108,Tajikistan,1995-02-01,181.0,5.0,0.027624309392265192,,0.0,0.0,,1995,NaT
111,Lebanon,1996-08-01,128.0,3.0,0.0234375,,0.0,0.0,,1996,NaT
112,Bhutan,,150.0,3.0,0.02,,0.0,0.0,,NaT,NaT
114,Kyrgyzstan,1995-02-01,70.0,1.0,0.014285714285714285,1995-02-01,35.0,4.0,0.11428571428571428,1995,1995
116,Yemen,1997-04-01,301.0,2.0,0.006644518272425249,,0.0,0.0,,1997,NaT
7,Germany,1998-09-01,666.0,211.0,0.31681681681681684,,69.0,17.0,0.2463768115942029,1998,NaT
9,Argentina,2001-10-01,257.0,79.0,0.30739299610894943,2001-10-01,72.0,0.0,0.0,2001,2001
14,Austria,1999-10-01,183.0,49.0,0.2677595628415301,,64.0,13.0,0.203125,1999,NaT
15,Grenada,1999-01-01,15.0,4.0,0.26666666666666666,1999-01-01,13.0,1.0,0.07692307692307693,1999,1999
19,Australia,2001-11-01,150.0,38.0,0.25333333333333335,1998-10-01,76.0,22.0,0.2894736842105263,2001,1998
20,Namibia,1999-11-01,72.0,18.0,0.25,1998-11-01,26.0,2.0,0.07692307692307693,1999,1998
21,Uganda,2001-06-01,304.0,75.0,0.24671052631578946,,0.0,0.0,,2001,NaT
22,Seychelles,1998-03-01,34.0,8.0,0.23529411764705882,,0.0,0.0,,1998,NaT
23,Belgium,1999-06-01,150.0,35.0,0.23333333333333334,1999-06-01,71.0,20.0,0.28169014084507044,1999,1999
24,Switzerland,1999-10-01,200.0,46.0,0.23,1999-10-01,46.0,9.0,0.1956521739130435,1999,1999
25,Saint Vincent & the Grenadines,2001-03-01,21.0,22.0,1.0476190476190477,,0.0,0.0,,2001,NaT
26,United Rep. of Tanzania,2000-10-01,274.0,61.0,0.22262773722627738,,0.0,0.0,,2000,NaT
27,Monaco,1998-02-01,18.0,4.0,0.2222222222222222,,0.0,0.0,,1998,NaT
28,China,,2984.0,650.0,0.217828418230563,,0.0,0.0,,NaT,NaT
29,Lao People's Democratic Rep.,1997-12-01,99.0,21.0,0.21212121212121213,,0.0,0.0,,1997,NaT
30,Nicaragua,2001-11-01,92.0,19.0,0.20652173913043478,,0.0,0.0,,2001,NaT
31,Canada,2000-11-01,301.0,62.0,0.2059800664451827,,105.0,34.0,0.3238095238095238,2000,NaT
32,Croatia,2000-01-01,151.0,31.0,0.2052980132450331,1997-04-01,65.0,4.0,0.06153846153846154,2000,1997
33,Poland,2001-09-01,460.0,93.0,0.20217391304347826,2001-09-01,100.0,23.0,0.23,2001,2001
34,Dem. People's Rep. of Korea,1998-07-01,687.0,138.0,0.20087336244541484,,0.0,0.0,,1998,NaT
35,Guyana,2001-03-01,65.0,13.0,0.2,,0.0,0.0,,2001,NaT
36,Burundi,1993-06-01,169.0,33.0,0.1952662721893491,,0.0,0.0,,1993,NaT
37,Dominica,2000-01-01,32.0,6.0,0.1875,,0.0,0.0,,2000,NaT
38,Portugal,1999-10-01,230.0,43.0,0.18695652173913044,,0.0,0.0,,1999,NaT
39,Peru,2001-04-01,120.0,22.0,0.18333333333333332,,0.0,0.0,,2001,NaT
40,United Kingdom,2001-06-01,659.0,118.0,0.17905918057663125,,713.0,117.0,0.1640953716690042,2001,NaT
41,Estonia,1999-03-01,101.0,18.0,0.1782178217821782,,0.0,0.0,,1999,NaT
42,Suriname,2000-05-01,51.0,9.0,0.17647058823529413,,0.0,0.0,,2000,NaT
43,Botswana,1999-10-01,47.0,8.0,0.1702127659574468,,0.0,0.0,,1999,NaT
44,Luxembourg,1999-06-01,60.0,10.0,0.16666666666666666,,0.0,0.0,,1999,NaT
"""",Trinidad and Tobago,2001-12-01,36.0,6.0,0.16666666666666666,1995-11-01,31.0,10.0,0.3225806451612903,2001,1995
45,Dominican Republic,1998-05-01,149.0,24.0,0.1610738255033557,1998-05-01,30.0,2.0,0.06666666666666667,1998,1998
46,Mexico,2000-07-01,500.0,80.0,0.16,2000-07-01,128.0,20.0,0.15625,2000,2000
47,Angola,1992-09-01,220.0,34.0,0.15454545454545454,,0.0,0.0,,1992,NaT
48,Bahamas,1997-03-01,40.0,6.0,0.15,1997-03-01,16.0,5.0,0.3125,1997,1997
49,Eritrea,1994-02-01,150.0,22.0,0.14666666666666667,,0.0,0.0,,1994,NaT
50,Ecuador,1998-05-01,123.0,18.0,0.14634146341463414,,0.0,0.0,,1998,NaT
51,Andorra,2001-03-01,28.0,4.0,0.14285714285714285,,0.0,0.0,,2001,NaT
52,Slovakia,1998-09-01,150.0,21.0,0.14,,0.0,0.0,,1998,NaT
53,Israel,1999-05-01,120.0,16.0,0.13333333333333333,,0.0,0.0,,1999,NaT
54,Republic of Moldova,2001-02-01,101.0,13.0,0.12871287128712872,,0.0,0.0,,2001,NaT
55,Tajikistan,2000-02-01,63.0,8.0,0.12698412698412698,2000-03-01,34.0,4.0,0.11764705882352941,2000,2000
56,Chile,2001-12-01,120.0,15.0,0.125,2001-12-01,49.0,2.0,0.04081632653061224,2001,2001
57,Mali,1997-07-01,147.0,18.0,0.12244897959183673,,0.0,0.0,,1997,NaT
58,Uruguay,1999-10-01,99.0,12.0,0.12121212121212122,1999-10-01,31.0,3.0,0.0967741935483871,1999,1999
59,Congo,1998-01-01,75.0,9.0,0.12,,0.0,0.0,,1998,NaT
60,Colombia,1998-03-01,161.0,19.0,0.11801242236024845,1998-03-01,102.0,13.0,0.12745098039215685,1998,1998
61,Bolivia,1997-06-01,130.0,15.0,0.11538461538461539,1997-06-01,27.0,1.0,0.037037037037037035,1997,1997
62,Cape Verde,2001-01-01,72.0,8.0,0.1111111111111111,,0.0,0.0,,2001,NaT
63,France,1997-05-01,577.0,63.0,0.10918544194107452,2001-09-01,321.0,35.0,0.10903426791277258,1997,2001
64,Barbados,1999-01-01,28.0,3.0,0.10714285714285714,1999-01-01,21.0,7.0,0.3333333333333333,1999,1999
65,Lithuania,2000-10-01,141.0,15.0,0.10638297872340426,,0.0,0.0,,2000,NaT
66,Azerbaijan,2000-11-01,124.0,13.0,0.10483870967741936,,0.0,0.0,,2000,NaT
67,Kazakhstan,1999-10-01,77.0,8.0,0.1038961038961039,1999-09-01,39.0,5.0,0.1282051282051282,1999,1999
68,Belarus,2000-10-01,97.0,10.0,0.10309278350515463,2000-12-01,61.0,19.0,0.3114754098360656,2000,2000
69,Kyrgyzstan,2000-02-01,60.0,6.0,0.1,2000-02-01,45.0,1.0,0.022222222222222223,2000,2000
70,Panama,1999-05-01,71.0,7.0,0.09859154929577464,,0.0,0.0,,1999,NaT
71,Italy,2001-05-01,630.0,62.0,0.09841269841269841,2001-05-01,321.0,25.0,0.0778816199376947,2001,2001
72,Sudan,2000-12-01,360.0,35.0,0.09722222222222222,,0.0,0.0,,2000,NaT
73,El Salvador,2000-03-01,84.0,8.0,0.09523809523809523,,0.0,0.0,,2000,NaT
74,Honduras,1997-11-01,128.0,12.0,0.09375,,0.0,0.0,,1997,NaT
75,Bhutan,,150.0,14.0,0.09333333333333334,,0.0,0.0,,NaT,NaT
76,Malta,1998-09-01,65.0,6.0,0.09230769230769231,,0.0,0.0,,1998,NaT
77,Sao Tome and Principe,1998-11-01,55.0,5.0,0.09090909090909091,,0.0,0.0,,1998,NaT
78,Ghana,2000-12-01,200.0,18.0,0.09,,0.0,0.0,,2000,NaT
79,Guatemala,1999-11-01,113.0,10.0,0.08849557522123894,,0.0,0.0,,1999,NaT
80,Greece,2000-04-01,300.0,26.0,0.08666666666666667,,0.0,0.0,,2000,NaT
81,Cote d'Ivoire,2000-12-01,223.0,19.0,0.08520179372197309,,0.0,0.0,,2000,NaT
82,Hungary,1998-05-01,386.0,32.0,0.08290155440414508,,0.0,0.0,,1998,NaT
83,Burkina Faso,1997-05-01,111.0,9.0,0.08108108108108109,1995-12-01,162.0,21.0,0.12962962962962962,1997,1995
84,Indonesia,1999-06-01,500.0,40.0,0.08,,0.0,0.0,,1999,NaT
85,Guinea-Bissau,1999-11-01,102.0,8.0,0.0784313725490196,,0.0,0.0,,1999,NaT
86,Ethiopia,2000-05-01,547.0,42.0,0.07678244972577697,2000-05-01,120.0,10.0,0.08333333333333333,2000,2000
87,Iraq,2000-03-01,250.0,19.0,0.076,,0.0,0.0,,2000,NaT
88,Cambodia,1998-07-01,122.0,9.0,0.07377049180327869,1999-03-01,61.0,8.0,0.13114754098360656,1998,1999
89,Central African Republic,1998-11-01,109.0,8.0,0.07339449541284404,,0.0,0.0,,1998,NaT
90,Georgia,1999-10-01,235.0,17.0,0.07234042553191489,,0.0,0.0,,1999,NaT
91,Bosnia and Herzegovina,2000-11-01,42.0,3.0,0.07142857142857142,2000-11-01,15.0,0.0,0.0,2000,2000
92,Belize,1998-08-01,29.0,2.0,0.06896551724137931,1993-06-01,8.0,3.0,0.375,1998,1993
93,Brazil,1998-10-01,513.0,35.0,0.0682261208576998,1998-10-01,80.0,5.0,0.0625,1998,1998
95,Samoa,2001-03-01,49.0,3.0,0.061224489795918366,,0.0,0.0,,2001,NaT
96,Benin,1999-03-01,83.0,5.0,0.060240963855421686,,0.0,0.0,,1999,NaT
97,Nepal,1999-05-01,205.0,12.0,0.05853658536585366,2001-06-01,60.0,0.0,0.0,1999,2001
98,Albania,2001-06-01,140.0,8.0,0.05714285714285714,,0.0,0.0,,2001,NaT
99,Cameroon,1997-05-01,180.0,10.0,0.05555555555555555,,0.0,0.0,,1997,NaT
100,Antigua and Barbuda,1999-03-01,19.0,1.0,0.05263157894736842,1999-03-01,17.0,2.0,0.11764705882352941,1999,1999
101,Equatorial Guinea,1999-03-01,80.0,4.0,0.05,,0.0,0.0,,1999,NaT
102,Togo,1999-03-01,81.0,4.0,0.04938271604938271,,0.0,0.0,,1999,NaT
103,Kiribati,1998-09-01,42.0,2.0,0.047619047619047616,,0.0,0.0,,1998,NaT
104,Turkey,1999-04-01,550.0,23.0,0.04181818181818182,,0.0,0.0,,1999,NaT
105,Lesotho,1998-05-01,79.0,3.0,0.0379746835443038,1998-05-01,33.0,9.0,0.2727272727272727,1998,1998
106,Haiti,2000-05-01,83.0,3.0,0.03614457831325301,2000-05-01,27.0,7.0,0.25925925925925924,2000,2000
107,Algeria,1997-06-01,380.0,13.0,0.034210526315789476,1997-12-01,144.0,8.0,0.05555555555555555,1997,1997
108,Armenia,1999-05-01,131.0,4.0,0.030534351145038167,,0.0,0.0,,1999,NaT
109,Marshall Islands,1999-11-01,33.0,1.0,0.030303030303030304,,0.0,0.0,,1999,NaT
110,Paraguay,1998-05-01,80.0,2.0,0.025,1998-05-01,45.0,8.0,0.17777777777777778,1998,1998
111,Chad,1997-01-01,125.0,3.0,0.024,,0.0,0.0,,1997,NaT
112,Lebanon,2000-08-01,128.0,3.0,0.0234375,,0.0,0.0,,2000,NaT
117,Morocco,1997-11-01,325.0,2.0,0.006153846153846154,2001-09-01,270.0,1.0,0.003703703703703704,1997,2001
"""",Solomon Islands,2001-12-01,49.0,0.0,0.0,,0.0,0.0,,2001,NaT
0,Costa Rica,2002-02-01,57.0,0.0,0.0,,0.0,0.0,,2002,NaT
0,Gabon,2001-12-01,120.0,0.0,0.0,1997-01-01,91.0,12.0,0.13186813186813187,2001,1997
0,Gambia,2001-01-01,53.0,0.0,0.0,,0.0,0.0,,2001,NaT
93,Togo,2002-10-01,81.0,6.0,0.07407407407407407,,0.0,0.0,,2002,NaT
94,Benin,2003-03-01,83.0,6.0,0.07228915662650602,,0.0,0.0,,2003,NaT
95,Japan,2003-11-01,480.0,34.0,0.07083333333333333,2001-07-01,247.0,38.0,0.15384615384615385,2003,2001
96,Nigeria,2003-04-01,360.0,24.0,0.06666666666666667,2003-04-01,109.0,3.0,0.027522935779816515,2003,2003
97,Algeria,2002-05-01,389.0,24.0,0.061696658097686374,2003-12-01,144.0,0.0,0.0,2002,2003
99,Maldives,1999-11-01,50.0,3.0,0.06,,0.0,0.0,,1999,NaT
100,Nepal,1999-05-01,205.0,12.0,0.05853658536585366,2001-06-01,60.0,5.0,0.08333333333333333,1999,2001
101,Chad,2002-04-01,155.0,9.0,0.05806451612903226,,0.0,0.0,,2002,NaT
102,Albania,2001-06-01,140.0,8.0,0.05714285714285714,,0.0,0.0,,2001,NaT
103,Honduras,2001-11-01,128.0,7.0,0.0546875,,0.0,0.0,,2001,NaT
"""",Republic of Korea,2000-04-01,271.0,15.0,0.055350553505535055,,0.0,0.0,,2000,NaT
104,Antigua and Barbuda,1999-03-01,19.0,1.0,0.05263157894736842,1999-03-01,17.0,2.0,0.11764705882352941,1999,1999
105,Equatorial Guinea,1999-03-01,80.0,4.0,0.05,,0.0,0.0,,1999,NaT
106,Kiribati,2003-05-01,42.0,2.0,0.047619047619047616,,0.0,0.0,,2003,NaT
107,Armenia,2003-05-01,131.0,6.0,0.04580152671755725,,0.0,0.0,,2003,NaT
108,Sri Lanka,2001-12-01,225.0,10.0,0.044444444444444446,,0.0,0.0,,2001,NaT
109,Madagascar,2002-12-01,160.0,6.0,0.0375,2001-03-01,90.0,10.0,0.1111111111111111,2002,2001
110,Mauritania,2001-10-01,81.0,3.0,0.037037037037037035,2002-04-01,56.0,3.0,0.05357142857142857,2001,2002
112,Belize,2003-03-01,30.0,1.0,0.03333333333333333,2003-03-01,13.0,3.0,0.23076923076923078,2003,2003
113,Marshall Islands,2003-11-01,33.0,1.0,0.030303030303030304,,0.0,0.0,,2003,NaT
114,Egypt,2000-11-01,454.0,11.0,0.024229074889867842,2001-05-01,264.0,15.0,0.056818181818181816,2000,2001
115,Lebanon,2000-08-01,128.0,3.0,0.0234375,,0.0,0.0,,2000,NaT
116,Bangladesh,2001-10-01,300.0,6.0,0.02,,0.0,0.0,,2001,NaT
117,Vanuatu,2002-05-01,52.0,1.0,0.019230769230769232,,0.0,0.0,,2002,NaT
118,Niger,1999-11-01,83.0,1.0,0.012048192771084338,,0.0,0.0,,1999,NaT
0,Dem. Republic of the Congo,2000-08-01,500.0,0.0,0.0,2003-08-01,120.0,0.0,0.0,2000,2003
0,Iran Islamic Rep. of,2004-02-01,290.0,0.0,0.0,,0.0,0.0,,2004,NaT
0,Liberia,2003-10-01,0.0,0.0,,,0.0,0.0,,2003,NaT
42,Portugal,2005-02-01,226.0,44.0,0.19469026548672566,,0.0,0.0,,2005,NaT
43,Dominica,2000-01-01,31.0,6.0,0.1935483870967742,,0.0,0.0,,2000,NaT
44,Guinea,2002-06-01,114.0,22.0,0.19298245614035087,,0.0,0.0,,2002,NaT
45,Bolivia,2002-06-01,130.0,25.0,0.19230769230769232,2002-06-01,27.0,3.0,0.1111111111111111,2002,2002
66,Zambia,2001-12-01,158.0,20.0,0.12658227848101267,,0.0,0.0,,2001,NaT
83,Paraguay,2003-04-01,80.0,8.0,0.1,2003-04-01,45.0,4.0,0.08888888888888889,2003,2003
90,Bhutan,,150.0,13.0,0.08666666666666667,,0.0,0.0,,NaT,NaT
91,Brazil,2002-10-01,513.0,44.0,0.08576998050682261,2002-10-01,81.0,10.0,0.12345679012345678,2002,2002
92,Congo,2002-05-01,129.0,11.0,0.08527131782945736,2002-06-01,60.0,9.0,0.15,2002,2002
93,India,2004-04-01,543.0,45.0,0.08287292817679558,2004-06-01,242.0,28.0,0.11570247933884298,2004,2004
94,Guatemala,2003-11-01,158.0,13.0,0.08227848101265822,,0.0,0.0,,2003,NaT
95,Serbia and Montenegro ,2003-02-01,126.0,10.0,0.07936507936507936,,0.0,0.0,,2003,NaT
96,Ethiopia,2000-05-01,547.0,42.0,0.07678244972577697,2000-05-01,120.0,10.0,0.08333333333333333,2000,2000
"""",Thailand,2005-02-01,500.0,36.0,0.072,2000-03-01,200.0,21.0,0.105,2005,2000
98,Japan,2003-11-01,480.0,34.0,0.07083333333333333,2004-07-01,242.0,33.0,0.13636363636363635,2003,2004
99,Madagascar,2002-12-01,160.0,11.0,0.06875,2001-03-01,90.0,10.0,0.1111111111111111,2002,2001
100,Mongolia,2004-06-01,74.0,5.0,0.06756756756756757,,0.0,0.0,,2004,NaT
101,Belize,2003-03-01,30.0,2.0,0.06666666666666667,2003-03-01,12.0,3.0,0.25,2003,2003
102,Chad,2002-04-01,155.0,10.0,0.06451612903225806,,0.0,0.0,,2002,NaT
103,Albania,2001-06-01,140.0,9.0,0.06428571428571428,,0.0,0.0,,2001,NaT
104,Algeria,2002-05-01,389.0,24.0,0.061696658097686374,2003-12-01,144.0,4.0,0.027777777777777776,2002,2003
