Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
54,Bosnia and Herzegovina,10 2002,42,7,16.7,N.A.,15,0,0
"""",Panama,05 2004,78,13,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
"""",Slovakia,09 2002,150,25,16.7,---,---,---,---
55,Cyprus,05 2001,56,9,16.1,---,---,---,---
56,Ecuador,10 2002,100,16,16,---,---,---,---
"""",Singapore,11 2001,94,15,16,---,---,---,---
57,Republic of Moldova,02 2001,101,16,15.8,---,---,---,---
58,Philippines,05 2004,236,36,15.3,05 2004,24,4,16.666
59,Angola,09 1992,220,33,15,---,---,---,---
"""",United States of America,11 2004,434,65,15,11 2004,100,14,14
"""",Israel,01 2003,120,18,15,---,---,---,---
60,Sierra Leone,05 2002,124,18,14.5,---,---,---,---
61,Andorra,03 2001,28,4,14.3,---,---,---,---
62,Greece,03 2004,300,42,14,---,---,---,---
"""",Guinea-Bissau,03 2004,100,14,14,---,---,---,---
"""",Malawi,04 2004,193,27,14,---,---,---,---
63,Barbados,05 2003,30,4,13.3,05 2003,21,5,23.809
